title,calory_count,proteins,fats,carbohydrates
Огурец маринованный,16,2.8,0.0,1.3
Огурец соленый,13,0.8,0.1,1.7
Окорок варено-копчёный,510,15.0,50.0,0.0
Окунь горячего копчения,166,23.5,8.0,0.0
Окунь морской,103,18.2,3.3,0.0
Окунь морской холодного копчения,88,17.5,2.0,0.0
Окунь речной,82,18.5,0.9,0.0
Оленина,154,19.5,8.5,0.0
Оленина тушеная,170,19.3,10.4,0.0
Оливки,175,1.8,16.3,5.2
Оливки (мякоть),296,1.6,23.7,19.0
Омуль,88,17.5,2.0,0.0
Опята,22,2.2,1.2,0.5
Орех грецкий,656,16.2,60.8,11.1
Орех кешью,600,18.5,48.5,22.5
Орех мускатный,556,20.0,50.0,7.0
Осетр,163,16.4,10.9,0.0
Осетр в томатном соусе,164,14.4,11.8,3.3
Осетр каспийский,164,16.4,10.9,0.0
Осетр консервированный,88,17.5,2.0,0.0
Осьминог,82,14.91,1.04,2.2
Отруби пшеничные,165,16.0,3.8,16.6
Отходы рыбные пищевые,88,17.5,2.0,0.0
Охотничьи колбаски,463,25.3,40.0,0.3
Ошибень,72,16.7,0.6,0.0
Пагрус,106,19.8,3.0,0.0
Палтус белокорый,103,18.9,3.0,0.0
Палтус черный,196,12.8,16.1,0.0
Паста ацидофильная,203,6.6,8.0,25.5
Паста молочная,81,5.5,0.2,13.5
Паста молочная нежирная,53,11.0,0.2,2.0
Паста «Океан»,88,17.5,2.0,0.0
Пастернак (корень),47,1.4,0.5,9.2
Пастила,324,0.5,0.0,80.0
Патиссон,19,0.6,0.1,4.3
Патока кукурузная,316,0.0,0.3,78.3
Пахта,62,3.0,3.6,4.8
Пахта пастеризованная,41,3.3,1.0,4.7
Пахта сквашенная,40,3.3,1.0,3.8
Паштет мясной (говяжий),275,16.1,23.3,0.4
Паштет печеночный,301,11.6,28.1,3.4
Пектин,52,3.5,0.0,9.3
Пеламида,217,22.4,14.2,0.0
Перепелка,239,18.0,18.6,0.0
Перец душистый,0,0.0,0.0,0.0
Перец жгучий красный,40,1.87,0.44,7.31
Перец красный сладкий,26,1.3,0.0,5.7
Перец молотый красный,318,12.01,17.27,29.43
Перец сладкий,26,1.3,0.1,4.9
Перец сладкий маринованный,24,1.3,0.1,4.9
Перец черный горошек,255,10.95,3.26,38.31
Перец черный молотый,255,10.95,3.26,38.31
Персик,45,0.9,0.1,9.5
Персики консервированные,40,0.9,0.1,9.5
Персиковое масло,899,0.0,99.9,0.0
Персик сушеный,254,3.0,0.4,57.7
Песочное с фруктовой начинкой,424,5.1,18.5,63.3
Петрушка,49,3.7,0.4,7.6
Печень баранья,100,18.7,2.9,0.0
Печень говяжья,127,17.9,3.7,5.3
Печень гусиная,411,15.2,39.0,0.0
Печенье,417,7.5,11.8,74.9
Печенье затяжное,396,7.7,9.1,70.9
Печенье сахарное,407,7.4,9.4,73.1
Печенье сдобное,451,6.4,16.8,68.5
Печенье сдобное миндальное,422,7.6,13.6,67.4
Печенье с пониженным содержанием сахара,476,8.3,23.6,61.6
Печень индейки,276,19.5,22.0,0.0
Печень куриная,139,20.4,5.9,1.4
Печень свиная,109,18.8,3.8,4.7
Печень телячья,97,17.4,3.1,0.0
Печень трески,613,4.2,65.7,1.2
Печень утиная,405,15.8,38.0,0.0
Пиво Жигулёвское,37,0.6,0.0,4.8
Пиво светлое,42,0.3,0.0,4.6
Пиво темное,48,0.3,0.0,5.7
Пикша,73,17.2,0.5,0.0
Пирожное,464,2.8,24.3,62.6
Пирожное бисквитное с белковым кремом,336,4.4,7.3,63.1
Пирожное вафельное молочное,572,4.8,36.7,55.3
Пирожное воздушное с кремом,440,2.6,20.8,60.5
Пирожное заварное с кремом (трубочка),433,4.4,24.5,48.8
Пирожное крошковое,388,5.9,19.4,47.5
Пирожное миндальное,433,8.5,16.2,63.2
Пирожное песочное с кремом,485,5.1,28.2,52.1
Пирожное слоеное с кремом,544,5.4,38.6,46.7
Пищевая сода,0,0.0,0.0,0.0
Пластинки из цельно-молотой пшеницы,342,12.7,2.4,67.3
Плитки кондитерские,537,7.8,34.6,48.1
Плотва,88,17.5,2.0,0.0
Повидло морковное,282,0.5,0.4,65.8
Повидло яблочное,250,0.4,0.0,65.0
Подберезовики,20,2.1,0.8,1.2
Подберезовик сушеный,318,24.0,9.2,37.2
Подварка апельсиновая,268,0.4,0.1,66.3
Подварка кабачковая,272,0.2,0.1,67.2
Подварка морковная,271,0.5,0.4,65.8
Подварка свекольная,269,0.5,0.1,65.9
Подосиновики,22,3.3,0.5,1.2
Подосиновик сушеный,314,35.4,5.4,33.2
Подсолнечник-семя,601,20.7,52.9,10.5
Полюстрово,0,0.0,0.0,0.0
Помидоры без кожицы,12,0.5,0.0,2.3
Помидоры с кожицей,20,1.1,0.1,3.5
Поросятина,109,20.6,3.0,0.0
Почки бараньи,76,13.6,2.5,0.0
Почки говяжьи,86,15.2,2.8,1.9
Почки свиные,92,15.0,3.6,2.7
Почки телячьи,66,12.5,1.8,0.0
Пралине с ржаной мукой,567,4.7,37.7,52.0
Пралине с соевой мукой,535,9.9,32.2,51.2
Пристипома,88,17.5,2.0,0.0
Просо,298,11.2,3.9,54.6
Простокваша 1%,40,3.0,1.0,4.1
Простокваша 2%,53,2.9,2.5,4.1
Простокваша 3%,59,2.9,3.2,4.1
Простокваша нежирная,30,3.0,0.05,3.8
Простокваша сублимационной сушки,75,3.0,5.0,4.8
Пряники,335,4.8,2.8,77.7
Пряники заварные,366,5.9,4.7,75.0
Пряники сырцовые,346,6.3,2.1,75.6
Псенопсис,91,14.6,3.7,0.0
Путассу,82,18.5,0.9,0.0
Путовый сустав говяжий,105,15.0,5.0,0.0
Пшеничная крупа,335,16.0,1.0,70.0
Пшеничная мука,328,11.7,1.8,70.8
Пшеничные хлопья,335,16.0,1.0,70.0
Пыжьян,88,17.5,2.0,0.0
Пюре яблочное,82,0.6,0.2,19.0
Разрыхлитель,79,0.2,0.0,19.6
Раки морские вареные,90,20.5,0.7,0.3
Раки морские (лангуст),89,18.8,1.3,0.5
Раки речные,76,15.5,1.0,1.2
Раки речные вареные,97,20.3,1.3,1.0
Рапс-семя,544,30.8,43.6,7.2
Рассол соли,0,0.0,0.0,0.0
Ревень,16,0.7,0.1,2.5
Редис,20,1.2,0.1,3.4
Редька черная,36,1.9,0.2,6.7
Репа,32,1.5,0.1,6.2
Ржаная мука,298,8.9,1.7,61.8
Рис,303,7.5,2.6,62.3
Рожки к чаю,312,8.4,5.6,56.8
Рожки сдобные,335,16.0,1.0,70.0
Рожь,283,9.9,2.2,55.8
Рожь молотая жареная,322,7.9,1.7,68.7
Рубец азово-черноморский холодного копчения,88,17.5,2.0,0.0
Рубец бараний,82,11.5,4.0,0.0
Рубец говяжий,97,14.8,4.2,0.0
Руккола,25,2.6,0.7,2.1
Рыба горячего копчения,88,17.5,2.0,0.0
Рыба-капитан,92,19.4,1.6,0.0
Рыба-лист,110,20.3,3.2,0.0
Рыба-мелочь (I категории),88,17.5,2.0,0.0
Рыба-сабля,106,19.3,3.2,0.0
Рыба соленая,88,17.5,2.0,0.0
Рыба холодного копчения,88,17.5,2.0,0.0
Рыбец,88,17.5,2.0,0.0
Рыбные консервы,88,17.5,2.0,0.0
Рыбные консервы в масле,88,17.5,2.0,0.0
Рыбные консервы в томатном соусе,88,17.5,2.0,0.0
Рыжик,22,1.9,0.8,2.0
Рябина садовая красная,50,1.4,0.2,8.9
Рябина черноплодная,55,1.5,0.2,10.9
Рябчик,253,18.0,20.0,0.5
Ряженка 1%,40,3.0,1.0,4.2
Ряженка 2%,54,2.9,2.5,4.2
Ряженка 4%,67,2.8,4.0,4.2
Ряженка 6%,85,3.0,6.0,4.1
Ряпушка сибирская,88,17.5,2.0,0.0
Сазан,97,18.2,2.7,0.0
Сазан азовский,121,18.4,5.3,0.0
Сазан в томатном соусе,143,12.4,8.7,3.5
Сайда,80,19.1,0.5,0.0
Сайра,204,19.5,14.1,0.0
Сайра бланшированная в масле,88,17.5,2.0,0.0
Сайра крупная,204,19.5,14.1,0.0
Сайра мелкая,204,19.5,14.1,0.0
Сайра средняя,204,19.5,14.1,0.0
Салака,125,17.0,6.3,0.0
Салака горячего копчения,152,25.4,5.6,0.0
Салат,16,1.5,0.2,2.0
Салилота,73,16.5,0.8,0.0
Сардельки,202,10.3,17.2,1.5
Сардельки говяжьи,215,11.4,18.2,1.3
Сардельки свиные,322,10.1,31.6,1.8
Сардина океаническая,166,19.0,10.0,0.0
Сардины в масле,88,17.5,2.0,0.0
Сардины океанические,166,19.0,10.0,0.0
Сахарная пудра,374,0.0,0.0,99.8
Сахарный сироп,300,0.0,0.0,80.0
Сахар-песок,399,0.0,0.0,99.8
Сахар-рафинад,400,0.0,0.0,99.9
Свекла,42,1.5,0.1,8.8
Свекла квашеная,32,1.3,0.0,6.0
Свекла сушеная,253,9.0,0.6,56.6
Свекольный сок,61,1.0,0.0,14.1
Свинина беконная,318,17.0,27.8,0.0
Свинина,142,19.4,7.1,0.0
Свинина жирная,491,11.7,49.3,0.0
Свинина мясная,357,14.3,33.3,0.0
Свинина тушеная,349,14.9,32.2,0.2
Сдоба выборгская с маком,335,16.0,1.0,70.0
Сдоба выборгская с повидлом,335,16.0,1.0,70.0
Сдоба обыкновенная,301,8.1,5.3,54.9
Сдобные изделия,335,16.0,1.0,70.0
Севрюга,160,16.9,10.3,0.0
Севрюга в томатном соусе,178,16.0,11.4,2.6
Сельдерей,13,0.9,0.1,2.1
Сельдерей (корень),34,1.3,0.3,6.5
Сельдь,88,17.5,2.0,0.0
Сельдь атлантическая,246,17.7,19.5,0.0
Сельдь атлантическая жирная,248,17.7,19.5,0.0
Сельдь атлантическая нежирная,135,19.1,6.5,0.0
Сельдь атлантическая среднесоленая,145,17.0,8.5,0.0
Сельдь иваси,182,20.5,11.1,0.0
Сельдь тихоокеанская,191,14.0,15.0,0.0
Сельдь тихоокеанская жирная,191,14.0,15.0,0.0
Сельдь тихоокеанская жирная холодного копчения,225,20.3,16.0,0.0
Сельдь тихоокеанская нежирная,135,18.0,7.0,0.0
Сельдь тихоокеанская среднесоленая,224,17.4,17.1,0.0
Семга соленая потрошенная с головой,202,22.5,12.5,0.0
Сервелат *,461,24.0,40.5,0.2
Сердце баранье,85,13.5,3.5,0.0
Сердце говяжье,96,16.0,3.5,2.0
Сердце куриное,158,15.8,10.3,0.8
Сердце свиное,101,16.2,4.0,2.6
Серебрянка,83,8.3,5.6,0.0
Сериола,88,17.5,2.0,0.0
Сериолелла,160,19.4,9.2,0.0
Сиг,88,17.5,2.0,0.0
Сиг байкальский,88,17.5,2.0,0.0
Сиг волховский,88,17.5,2.0,0.0
Сиг в томатном соусе,88,17.5,2.0,0.0
Сироп из шиповника,285,0.2,0.0,70.5
Скап океанический,88,17.5,2.0,0.0
Скат-лисица,110,24.0,1.6,0.0
Сквама,104,17.3,3.9,0.0
Скумбрия атлантическая,191,18.0,13.2,0.0
Скумбрия в масле,318,14.4,28.9,0.0
Скумбрия дальневосточная,239,19.3,18.0,0.0
Скумбрия консервированная в масле,317,14.4,28.9,0.0
Скумбрия курильская натуральная,248,18.8,19.2,0.0
Скумбрия натуральная,200,17.7,14.4,0.0
Скумбрия холодного копчения,150,23.4,6.4,0.0
Славяновская,0,0.0,0.0,0.0
Слива (садовая),49,0.8,0.3,9.6
Слива сушеная (чернослив),256,2.3,0.7,57.5
Слива-ядро,475,28.5,40.2,0.0
Сливки 20%,205,2.5,20.0,4.0
Сливки 35%,335,2.2,35.0,3.2
Сливки взбитые плодово-ягодные,205,2.8,20.0,3.7
Сливки взбитые с ванилью,205,2.8,20.0,3.7
Сливки взбитые шоколадные,205,2.8,20.0,3.7
Сливки пастеризованные 10%,119,2.7,10.0,4.5
Сливки пастеризованные 20%,207,2.5,20.0,4.0
Сливки пастеризованные 35%,337,2.2,35.0,3.2
Сливки пастеризованные 8%,102,2.8,8.0,4.5
Сливки сгущенные,75,3.0,5.0,4.8
Сливки сгущенные с сахаром,392,8.0,19.0,47.0
Сливки стерилизованные 10%,119,2.7,10.0,4.4
Сливки стерилизованные 25%,251,2.4,25.0,3.9
Сливки сухие 42%,577,19.0,42.0,30.2
Сливки сухие,567,19.0,42.0,30.2
Сливовое масло,899,0.0,99.9,0.0
Сливы консервированные,41,0.8,0.3,9.6
Сливы маринованные,41,0.8,0.3,9.6
Сметана 10%,119,2.7,10.0,3.9
Сметана 15%,162,2.6,15.0,3.6
Сметана 20%,206,2.5,20.0,3.4
Сметана 25%,250,2.4,25.0,3.2
Сметана 30%,293,2.3,30.0,3.1
Сметана 36%,291,2.4,30.0,3.1
Сметана 40%,291,2.4,30.0,3.1
Сметана «Домашняя» 10%,130,3.8,10.0,5.6
Сметанно-чесночная приправа,204,2.3,20.6,2.6
Смородина белая,42,0.5,0.2,8.0
Смородина красная,43,0.6,0.2,7.7
Смородина черная,44,1.0,0.4,7.3
Сморчок,22,2.9,0.4,2.0
Снеток солено-сушеный,88,17.5,2.0,0.0
Снэк,143,21.8,6.3,0.0
Соевый соус,50,6.0,0.0,6.66
Сок абрикосовый,55,0.5,0.0,12.7
Сок ананасовый,46,0.4,0.2,11.5
Сок апельсиновый,60,0.7,0.1,13.2
Сок виноградный,70,0.3,0.2,16.3
Сок вишнёвый,51,0.7,0.2,11.4
Сок гранатовый,56,0.3,0.1,14.2
Сок грейпфрутовый,38,0.3,0.1,7.9
Сок грушевый,45,0.4,0.3,11.0
Сок клюквенный,45,0.4,0.3,11.0
Сок лимонный,33,0.6,0.0,3.9
Сок мандариновый,45,0.8,0.0,9.8
Сок персиковый,68,0.3,0.0,16.5
Сок сливовый,68,0.3,0.1,15.2
Сок томатный,18,1.0,0.1,2.9
Сок яблочный,46,0.5,0.1,10.1
Солнечник,95,18.9,2.2,0.0
Соломка сладкая,372,9.1,6.1,69.3
Соль,0,0.0,0.0,0.0
Сом,115,17.2,5.1,0.0
Сом в томатном соусе,126,12.9,6.3,4.0
Сорбит пищевой,354,0.0,0.0,94.5
Сорго,323,11.1,3.3,66.4
Сорога (плотва сибирская),88,17.5,2.0,0.0
Сосиски говяжьи,226,10.4,20.1,0.8
Сосиски «Молочные»,261,11.0,23.9,0.4
Сосиски «Русские»,250,11.3,22.0,1.7
Сосиски свиные,324,11.8,30.8,0.0
Сосиски «Столичные»,234,12.2,20.3,0.5
Соус «Ткемали»,417,5.0,40.0,10.0
Соус томатный острый,99,2.5,0.0,21.2
Соус «Южный»,417,5.0,40.0,10.0
Соя,364,34.9,17.3,17.3
Спаржа,21,1.9,0.1,3.1
Ставрида атлантическая холодного копчения,88,17.5,2.0,0.0
Ставрида в масле,88,17.5,2.0,0.0
Ставрида в томатном соусе,88,17.5,2.0,0.0
Ставрида океаническая,114,18.5,4.5,0.0
Стерлядь,88,17.5,2.0,0.0
Субпродукты,241,18.2,18.4,0.7
Судак,84,18.4,1.1,0.0
Судак в томатном соусе,119,14.0,5.3,3.1
Сулугуни,286,20.5,22.0,0.4
Сумах,0,0.0,0.0,0.0
Сухари,335,16.0,1.0,70.0
Сухари армейские,330,11.2,1.4,67.5
Сухари ванильные,335,16.0,1.0,70.0
Сухари пшеничные,335,16.0,1.0,70.0
Сухари ржаные,335,16.0,1.0,70.0
Сухари сливочные,399,8.5,10.8,66.7
Сушки простые,339,10.7,1.2,71.2
Сыворотка подсырная,62,3.0,3.6,4.8
Сыворотка сухая,332,12.0,1.1,73.3
Сыворотка творожная,18,0.8,0.2,3.5
Сыр,355,26.0,26.5,3.5
Сыр домашний 4%,113,17.0,4.0,1.5
Сыр домашний нежирный,86,18.0,0.6,1.5
Сырки глазированные с ванилином 10%,270,9.4,10.9,33.1
Сырки глазированные с ванилином 27%,413,7.9,27.7,32.6
Сырки и масса творожная сладкая 16%,238,12.0,16.5,9.5
Сырки и масса творожная сладкая 8%,181,15.0,8.0,11.5
Сырки творожные детские 23%,319,9.1,23.0,18.5
Сыр мягкий,332,20.0,28.0,0.0
Сыроежки,19,1.7,0.7,1.5
Сырок (пелядь),125,19.1,5.5,0.0
Сырок творожный,232,12.0,16.5,9.5
Сыр плавленный с наполнителем,257,16.8,11.2,23.8
Сыр плавленый,331,22.0,27.0,0.0
Сыр плавленый колбасный копченый,275,21.2,19.4,3.7
Сыр плавленый медовый,291,6.1,16.5,29.4
Сыр плавленый мятный,335,7.9,19.1,32.7
Сыр рассольный,355,26.0,26.5,3.5
Сыр твердый,355,26.0,26.5,3.5
Сырье,392,0.5,10.0,80.0
Таймень,88,17.5,2.0,0.0
Творог,155,16.7,9.0,2.0
Творог жирный 18%,236,15.0,18.0,2.8
Творог мягкий диетический 11%,178,16.0,11.0,3.0
Творог мягкий диетический 4%,136,21.0,4.0,3.0
Творог мягкий диетический,110,22.0,0.6,3.3
Творог нежирный,110,22.0,0.6,3.3
Творог полужирный 9%,169,18.0,9.0,3.0
Творог «Столовый» 2%,114,20.0,2.0,3.0
Телятина,88,19.5,1.2,0.0
Телятина молочная,96,19.7,2.0,0.0
Терн,54,1.5,0.3,9.4
Терпуг,101,17.8,3.4,0.0
Тетерев,253,18.0,20.0,0.5
Теша осетровая холодного копчения,302,17.6,25.7,0.0
Тмин,333,19.77,14.59,11.9
Толокно,363,12.5,6.0,64.9
Томатная паста,102,4.8,0.0,19.0
Томатное пюре,66,3.6,0.0,11.8
Томатно-чесночная приправа,4,0.6,0.0,0.5
Томатные концентраты и соусы,28,1.2,0.1,6.0
Томаты консервированные целые,19,0.6,0.2,4.2
Томаты маринованные,15,1.7,0.2,1.8
Томаты (помидоры),19,0.6,0.2,4.2
Томаты соленые,13,1.1,0.1,1.6
Топинамбур,61,2.1,0.1,12.8
Топленое масло,885,0.3,98.0,0.6
Торт,349,5.6,11.8,58.8
Треска,69,16.0,0.6,0.0
Треска горячего копчения,115,26.7,1.2,0.0
Треска копченая в масле,290,20.8,23.0,0.0
Треска соленая,98,23.1,0.6,0.0
Тритикале,293,12.8,2.1,54.5
Трюфели,24,3.0,0.5,2.0
Тунец,139,24.4,4.6,0.0
Тунец в масле,232,22.0,15.9,0.0
Тунец натуральный,96,22.5,0.7,0.0
Тыква,22,1.0,0.1,4.4
Тюлька,88,17.5,2.0,0.0
Угольная рыба,200,12.2,16.9,0.0
Угорь,333,14.5,30.5,0.0
Угорь морской,88,17.5,2.0,0.0
Угорь потрошеный горячего копчения,88,17.5,2.0,0.0
Удильщик,68,14.8,1.0,0.0
Укроп,40,2.5,0.5,6.3
Уксус 9%,11,0.0,0.0,3.0
Умбрина,88,17.5,2.0,0.0
Усач,88,17.5,2.0,0.0
Устрица,72,9.0,2.0,4.5
Утка,287,17.2,24.2,0.0
Утка в собственном соку,223,16.0,17.5,0.3
Утята,225,18.0,17.0,0.0
Уши говяжьи,121,25.2,2.3,0.0
Уши свиные,210,21.0,14.1,0.0
Фазан,253,18.0,20.0,0.5
Фарш колбасный куриный,200,15.0,15.6,0.0
Фарш свиной сосисочный,244,10.6,20.4,4.3
Фасоль,298,21.0,2.0,47.0
Фасоль стручковая,16,1.2,0.1,2.4
Фасоль (стручок),23,2.5,0.3,3.0
Филе морского гребешка,88,17.5,2.0,0.0
Финики,292,2.5,0.5,69.2
Фисташки,556,20.0,50.0,7.0
Форель,88,17.5,2.0,0.0
Фосфатидный концентрат соевый,843,0.0,93.7,0.0
Фундук,651,15.0,61.5,9.4
Халва подсолнечная,516,11.6,29.7,54.0
Халва тахинная,509,12.7,29.9,50.6
Халва тахинная шоколадная,498,12.8,28.1,48.4
Халва тахинно-арахисовая,502,12.7,29.2,47.0
Хамса,88,17.5,2.0,0.0
Хариус,88,17.5,2.0,0.0
Хвост говяжий мясокостный,137,19.7,6.5,0.0
Хек,86,16.6,2.2,0.0
Хлеб бородинский,201,6.8,1.3,39.8
Хлеб зерновой,228,8.6,1.4,45.1
Хлеб паляница,243,8.3,1.0,49.9
Хлеб подовый,208,8.0,1.5,40.1
Хлеб пшеничный,213,7.6,0.9,46.7
Хлеб ржаной,165,6.6,1.2,34.2
Хлеб ржано-пшеничный,335,16.0,1.0,70.0
Хлеб рижский,232,5.6,1.1,49.4
Хлеб формовой,174,6.6,1.2,33.4
Хлебцы «Докторские»,242,8.2,2.6,46.3
Хлопковое масло,899,0.0,99.9,0.0
Хлопчатник-семя,496,34.5,36.5,8.1
Хмели-сунели,417,5.0,40.0,10.0
Хрен корень,59,3.2,0.4,10.5
Хрящи рыб осетровых пород,88,17.5,2.0,0.0
Хурма,67,0.5,0.4,15.3
Цедра,15,0.9,0.1,3.0
Цедра апельсиновая,97,1.5,0.2,14.4
Цедра лимонная,47,1.5,0.3,5.4
Цукаты,216,3.0,0.0,54.5
Цукаты морковные,300,2.9,0.2,70.5
Цыплята,139,18.7,7.0,0.5
Чавыча,148,19.1,8.0,0.0
Чай,140,20.0,5.1,4.0
Черемуха,0,0.0,0.0,0.0
Черемша,34,2.4,0.1,6.5
Черешня,52,1.1,0.4,10.6
Черника,44,1.1,0.6,7.6
Черноплодно-рябиновый сок,50,0.1,0.1,11.4
Черносмородиновый сок,41,0.5,0.0,7.3
Чернушка,9,1.5,0.3,0.1
Чеснок луковица,149,6.5,0.5,29.9
Чеснок перо,0,0.0,0.0,0.0
Чехонь,88,17.5,2.0,0.0
Чечевица,295,24.0,1.5,46.3
Чина,303,24.4,0.9,52.1
Чир (щокур),88,17.5,2.0,0.0
Шампиньоны,27,4.3,1.0,0.1
Шафран,310,11.43,5.85,61.47
Шелковица,50,0.7,0.0,12.7
Шемая аральская,88,17.5,2.0,0.0
Шикозин,897,0.2,99.6,0.0
Шиповник,109,1.6,0.7,22.4
Шиповниковый сок,67,0.1,0.2,16.1
Шиповник сухой,284,3.4,1.4,48.3
Шкура свиная,216,18.0,16.0,0.0
Шоколад в порошке,482,5.2,24.3,64.8
Шоколад горький,539,6.2,35.4,48.2
Шоколад молочный,554,9.8,34.7,50.4
Шоколадная паста,536,8.2,30.6,56.6
Шоколад ореховый,534,7.3,33.8,49.7
Шоколад полугорький,549,4.5,35.4,52.5
Шоколад пористый молочный,545,6.9,35.5,53.0
Шоколад сладкий,550,3.0,34.0,57.6
Шоколад сливочный,560,6.3,35.5,53.7
Шпик свиной,840,1.4,92.8,0.0
Шпинат,23,2.9,0.3,2.0
Шпинат-пюре,16,2.0,0.1,2.0
Шпроты в масле,363,17.4,32.4,0.0
Щавель,22,1.5,0.3,2.9
Щука,84,18.4,1.1,0.0
Щука в томатном соусе,110,14.2,4.0,3.1
Эпигонус дальневосточный,172,16.5,11.8,0.0
Эскимо,124,3.2,3.5,21.3
Эстрагон,24,1.5,0.0,5.0
Яблоки,47,0.4,0.4,9.8
Яблоки в сиропе,48,0.2,0.1,11.5
Яблоки сушеные,253,2.2,0.1,59.0
Ядро ореха арахиса жареное,626,26.0,52.0,13.4
Ядро ореха миндаля жареное,642,22.4,55.9,12.3
Ядро ореха фундука жареное,703,17.8,66.1,9.4
Язык бараний,195,12.6,16.1,0.0
Язык говяжий,173,16.0,12.1,2.2
Язык говяжий в желе,212,22.4,13.6,2.4
Язык морской,88,10.3,5.2,0.0
Язык свиной,208,15.9,16.0,2.1
Язык телячий,163,13.6,12.1,0.0
Язь,116,19.0,4.5,0.0
Язь в томатном соусе,88,17.5,2.0,0.0
Ячменная мука,264,10.0,1.6,56.1
Ячмень,288,10.3,2.4,56.4
Яичный белок куриный,48,11.1,0.17,1
Яичный желток куриный,322,15.86,26.54,3.59
Яичный порошок,542,46,37.3,4.5
Яйцо гусиное,185,13.87,13.27,1.35
Яйцо индюшиное,171,13.68,11.88,1.15
Яйцо куриное,143,12.56,9.51,0.72
Яйцо перепелиное,158,13.05,11.09,0.41
Яйцо утиное,185,12.81,13.77,1.45